LATITUDE,LONGITUDE,utm_e,utm_n,population,count_intersections,street_length_avg,street_length_total,streets_per_node_avg,betweenness_centrality_avg,closeness_centrality_avg,clustering_coefficient_avg,street_length_total_ext,primary_length_total_ext,highway_length_total_ext,road_length_total_ext,street_oneway_length_total_ext,fraction_oneway_ext,count_roads_ext,road_lenght_avg_ext,cf,POI_Count,N_BFA,N_OtherServices,N_Retail,N_Est_Mfg,N_Est_RW,N_Est_Services,N_Est_BFA,N_Emp_Mfg,N_Emp_RW,N_Emp_Services,N_Emp_BFA,N_Emp_Tot,fis_score
-12.038437,-77.063383,275367.363,8668356.266,24386,199,62.18875778,19527.26994,3.198067633,0.037387278,0.00158111,0.008856683,19527.26994,0,0,19527.26994,2640.314254,0.135211643,314,62.18875778,1.995885031,19,6,5,8,156,169,447,9,35588,9086,141268,771,191046,0.5
-12.044985,-77.044013,277485.6146,8667641.824,24484,136,90.12401991,18926.04418,3.335714286,0.059849263,0.001144458,0.031666667,13724.38301,5158.538326,0,18882.92134,9861.094454,0.718509127,210,89.91867303,2.61162676,66,14,20,32,156,169,447,9,35588,9086,141268,771,191046,0.561384224
-12.064124,-77.121315,269083.4425,8665464.559,19285,154,81.15052721,19719.57811,3.156626506,0.060094703,0.001308789,0.043574297,14010.29118,5709.286934,0,19719.57811,4037.154563,0.288156364,243,81.15052721,2.207073664,35,14,11,10,113,19,332,0,20362,4403,62657,0,91888,0.552872703
-12.049867,-77.042195,277685.6779,8667101.133,24484,136,90.12401991,18926.04418,3.335714286,0.059849263,0.001144458,0.031666667,13724.38301,5158.538326,0,18882.92134,9861.094454,0.718509127,210,89.91867303,2.61162676,66,14,20,32,156,169,447,9,35588,9086,141268,771,191046,0.561384224
-12.161134,-76.958792,286856.1821,8654864.389,13478,198,76.85157097,22056.40087,3.168316832,0.0431246,0.000828942,0,20107.00392,1949.396949,0,22056.40087,4115.926306,0.204701124,287,76.85157097,2.956554137,26,6,12,8,15,23,53,0,4954,1791,6980,0,14556,0.5
-12.071729,-77.061294,275623.767,8664673.53,21747,169,75.52892731,20317.28145,3.385057471,0.0476417,0.001054464,0.048467433,20317.28145,0,0,20317.28145,16526.64331,0.813427887,269,75.52892731,2.14397944,109,51,26,32,10,20,34,2,2815,451,18952,435,23420,0.5
-12.046023,-77.015573,280579.2951,8667554.058,24392,56,120.6194045,10373.26878,3.209677419,0.077494271,0.001032198,0.037634409,10252.06421,0,0,10252.06421,6715.220861,0.655011588,86,119.210049,2.718779694,13,1,3,9,156,169,447,9,35588,9086,141268,771,191046,0.69719767
-12.04654,-76.945918,288170.0455,8667553.524,11725,61,93.07730543,7353.107129,3.163934426,0.069153469,0.001171319,0.049180328,6243.549048,1109.558081,0,7353.107129,2205.635397,0.353266288,79,93.07730543,3.047029768,15,7,7,1,296,249,712,22,77896,35051,175804,3196,301888,0.5
-12.01564,-77.097628,271623.3996,8670850.783,11892,150,70.20858534,16428.80897,2.969879518,0.051248898,0.00145703,0.006024096,16428.80897,0,0,16428.80897,6432.950051,0.391565211,234,70.20858534,2.579356725,15,9,1,5,113,19,332,0,20362,4403,62657,0,91888,0.308388936
-11.913971,-77.039525,277868.5509,8682139.619,11279,216,67.89818741,21999.01272,3.314814815,0.040835225,0.001084533,0.008179012,21103.85206,895.1606586,0,21999.01272,3965.058675,0.187883172,324,67.89818741,2.35121964,33,12,5,16,17,14,46,0,1107,451,8557,86,10337,0.269330158
-12.056772,-77.022013,279891.1261,8666353.999,26848,106,98.07148519,16476.00951,3.594339623,0.067610063,0.001314445,0.018238994,14865.62889,973.262289,637.1183376,16476.00951,11883.32835,0.799382821,168,98.07148519,2.028163507,63,13,14,36,233,302,760,15,52803,23672,192903,1495,276944,0.670091874
-12.038631,-77.025163,279527.7877,8668365.111,25082,104,94.1606941,14689.06828,3.165137615,0.074266198,0.000956242,0.059021407,12693.37587,895.9777472,1099.714666,14689.06828,8608.208071,0.67816538,156,94.1606941,3.180893846,52,29,4,19,156,169,447,9,35588,9086,141268,771,191046,0.689020464
-11.97804,-76.77102,307166.6799,8675260.431,6234,56,112.722122,10708.60159,3.258064516,0.058293672,0.001539991,0,8890.677451,0,1817.924141,10708.60159,974.4642241,0.109605171,95,112.722122,1.66409191,29,14,6,9,1,0,2,0,743,30,206,0,992,0.215755197
-11.985058,-76.813553,302531.9816,8674444.834,4147,83,68.59626211,8505.936502,3.13253012,0.070239404,0.002348353,0.026104418,8505.936502,0,0,8505.936502,0,0,124,68.59626211,2.183669191,3,0,0,3,9,2,19,0,9189,1035,11046,0,21297,0.5
-11.966313,-77.056399,276070.1553,8676339.388,10367,59,84.61006307,7107.245297,3.213114754,0.069963879,0.001917137,0.050819672,6089.154644,1018.090654,0,7107.245297,1587.703235,0.260742801,84,84.61006307,2.857248581,5,1,1,3,20,23,65,1,3933,589,16328,206,21192,0.5
